GENE_CLEAN	PROJECTS_DETECTED	PROJECTS_I_ENRICHED	PROJECTS_E_ENRICHED	PROJECTS_BALANCED	CONSENSUS_CLASS	TOTAL_BOTH_PRESENT	TOTAL_E_ONLY	TOTAL_I_ONLY	TOTAL_DISCORDANT	I_ONLY_MINUS_E_ONLY	EXACT_BINOMIAL_P	P1066593_DIRECTION	P1066593_E_ONLY	P1066593_I_ONLY	P1346432_DIRECTION	P1346432_E_ONLY	P1346432_I_ONLY	P881852_DIRECTION	P881852_E_ONLY	P881852_I_ONLY	BH_FDR_Q
catQ	1	1	0	0	LIMITED_SUPPORT	0	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
catS	1	1	0	0	LIMITED_SUPPORT	0	0	5	5	5	0.062500	ABSENT	0	0	I_ENRICHED	0	5	ABSENT	0	0	0.219340
cfxA	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	ABSENT	0	0	I_ENRICHED	0	1	1.000000
cfxA3	2	2	0	0	I_ENRICHED_2PLUS_NO_E	1	0	8	8	8	0.007812	ABSENT	0	0	I_ENRICHED	0	6	I_ENRICHED	0	2	0.072656
cfxA5	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	ABSENT	0	0	I_ENRICHED	0	1	1.000000
cfxA6	2	2	0	0	I_ENRICHED_2PLUS_NO_E	1	0	7	7	7	0.015625	ABSENT	0	0	I_ENRICHED	0	6	I_ENRICHED	0	1	0.100216
cml	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
cmx	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
cphA1	1	0	1	0	LIMITED_SUPPORT	0	1	0	1	-1	1.000000	ABSENT	0	0	E_ENRICHED	1	0	ABSENT	0	0	1.000000
cphA4	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
dfrA1	1	1	0	0	LIMITED_SUPPORT	1	1	2	3	1	1.000000	ABSENT	0	0	I_ENRICHED	1	2	ABSENT	0	0	1.000000
dfrA12	1	1	0	0	LIMITED_SUPPORT	0	0	3	3	3	0.250000	ABSENT	0	0	I_ENRICHED	0	3	ABSENT	0	0	0.540698
dfrA14	1	1	0	0	LIMITED_SUPPORT	1	0	5	5	5	0.062500	ABSENT	0	0	I_ENRICHED	0	5	ABSENT	0	0	0.219340
dfrA15	1	0	1	0	LIMITED_SUPPORT	0	1	0	1	-1	1.000000	ABSENT	0	0	E_ENRICHED	1	0	ABSENT	0	0	1.000000
dfrA27	1	0	1	0	LIMITED_SUPPORT	0	1	0	1	-1	1.000000	ABSENT	0	0	E_ENRICHED	1	0	ABSENT	0	0	1.000000
dfrA3	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
dfrA5	1	0	1	0	LIMITED_SUPPORT	0	1	0	1	-1	1.000000	ABSENT	0	0	E_ENRICHED	1	0	ABSENT	0	0	1.000000
dfrA7	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
dfrB1	1	1	0	0	LIMITED_SUPPORT	1	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
dfrB4	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
ere(A)	1	1	0	0	LIMITED_SUPPORT	0	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
ere(D)	1	1	0	0	LIMITED_SUPPORT	1	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
erm(47)	1	1	0	0	LIMITED_SUPPORT	0	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
erm(50)	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
erm(A)	1	1	0	0	LIMITED_SUPPORT	0	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	2	ABSENT	0	0	0.894231
erm(B)	2	2	0	0	I_ENRICHED_2PLUS_NO_E	2	0	12	12	12	0.000488	ABSENT	0	0	I_ENRICHED	0	7	I_ENRICHED	0	5	0.009082
erm(F)	3	3	0	0	I_ENRICHED_ALL_3	4	0	13	13	13	0.000244	I_ENRICHED	0	1	I_ENRICHED	0	5	I_ENRICHED	0	7	0.005676
erm(G)	1	1	0	0	LIMITED_SUPPORT	1	0	5	5	5	0.062500	ABSENT	0	0	I_ENRICHED	0	5	ABSENT	0	0	0.219340
erm(Q)	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
erm(X)	1	1	0	0	LIMITED_SUPPORT	0	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
fosA	1	1	0	0	LIMITED_SUPPORT	0	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	2	ABSENT	0	0	0.894231
lnu(B)	1	1	0	0	LIMITED_SUPPORT	0	0	6	6	6	0.031250	ABSENT	0	0	I_ENRICHED	0	6	ABSENT	0	0	0.145313
lnu(C)	1	1	0	0	LIMITED_SUPPORT	0	0	7	7	7	0.015625	ABSENT	0	0	I_ENRICHED	0	7	ABSENT	0	0	0.100216
lnu(G)	1	1	0	0	LIMITED_SUPPORT	0	0	3	3	3	0.250000	ABSENT	0	0	I_ENRICHED	0	3	ABSENT	0	0	0.540698
lsa(E)	1	1	0	0	LIMITED_SUPPORT	0	0	6	6	6	0.031250	ABSENT	0	0	I_ENRICHED	0	6	ABSENT	0	0	0.145313
mcr-3.17	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
mcr-3.19	1	0	1	0	LIMITED_SUPPORT	0	1	0	1	-1	1.000000	ABSENT	0	0	E_ENRICHED	1	0	ABSENT	0	0	1.000000
mcr-3.33	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
mcr-9.1	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
mef(A)	1	1	0	0	LIMITED_SUPPORT	0	0	6	6	6	0.031250	ABSENT	0	0	I_ENRICHED	0	6	ABSENT	0	0	0.145313
mef(B)	2	2	0	0	I_ENRICHED_2PLUS_NO_E	0	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	3	I_ENRICHED	0	1	0.310000
mef(C)	2	2	0	0	I_ENRICHED_2PLUS_NO_E	3	0	6	6	6	0.031250	ABSENT	0	0	I_ENRICHED	0	4	I_ENRICHED	0	2	0.145313
mph(A)	2	2	0	0	I_ENRICHED_2PLUS_NO_E	2	0	8	8	8	0.007812	ABSENT	0	0	I_ENRICHED	0	5	I_ENRICHED	0	3	0.072656
mph(E)	3	3	0	0	I_ENRICHED_ALL_3	8	0	13	13	13	0.000244	I_ENRICHED	0	1	I_ENRICHED	0	7	I_ENRICHED	0	5	0.005676
mph(G)	2	2	0	0	I_ENRICHED_2PLUS_NO_E	3	0	7	7	7	0.015625	ABSENT	0	0	I_ENRICHED	0	4	I_ENRICHED	0	3	0.100216
mph(N)	2	1	1	0	MIXED_DIRECTION	1	1	1	2	0	1.000000	ABSENT	0	0	I_ENRICHED	0	1	E_ENRICHED	1	0	1.000000
msr(D)	1	1	0	0	LIMITED_SUPPORT	1	0	5	5	5	0.062500	ABSENT	0	0	I_ENRICHED	0	5	ABSENT	0	0	0.219340
msr(E)	3	3	0	0	I_ENRICHED_ALL_3	8	0	13	13	13	0.000244	I_ENRICHED	0	2	I_ENRICHED	0	7	I_ENRICHED	0	4	0.005676
nimA	1	1	0	0	LIMITED_SUPPORT	0	0	3	3	3	0.250000	ABSENT	0	0	I_ENRICHED	0	3	ABSENT	0	0	0.540698
nimD	1	1	0	0	LIMITED_SUPPORT	0	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	2	ABSENT	0	0	0.894231
qnrB19	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
qnrD1	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
qnrS10	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
qnrS2	2	2	0	0	I_ENRICHED_2PLUS_NO_E	3	0	7	7	7	0.015625	ABSENT	0	0	I_ENRICHED	0	4	I_ENRICHED	0	3	0.100216
qnrVC1	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
qnrVC4	1	1	0	0	LIMITED_SUPPORT	2	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
